step,par,f
1732,a,2.4306017281506507
1732,b,0.7600877559294145
1732,r,0.44853849339695423
1733,a,2.8532893350454485
1733,b,0.7756473633764364
1733,r,0.023365162459489466
1734,a,1.0947337396878933
1734,b,0.3265018587625272
1734,r,0.020460397622295835
1735,a,0.9482920878163152
1735,b,0.0755512148621194
1735,r,0.37220149468687735
1736,a,0.34997100319916075
1736,b,0.10471292111779956
1736,r,0.4448027121345503
1737,a,0.9531346204756472
1737,b,0.30332633497915884
1737,r,0.6485391885858217
1738,a,3.787212164610943
1738,b,2.444088413471265
1738,r,0.21675532936642813
1739,a,0.2021395446868951
1739,b,0.7036429944993234
1739,r,0.20389627483613665
1740,a,0.4421442124391886
1740,b,0.11440628478363164
1740,r,1.0153151982885504
1741,a,1.7929713652357915
1741,b,0.05495887870312339
1741,r,0.647436022652961
1742,a,0.290592263033827
1742,b,0.008084829379415688
1742,r,0.6106781791442553
1743,a,0.19369309762437528
1743,b,0.6767488594297304
1743,r,0.2679380607780982
1744,a,4.217051560624329
1744,b,6.173408328914265
1744,r,0.8388331109818318
1745,a,0.4839964820361824
1745,b,0.29498662746471915
1745,r,0.053443163060262436
1746,a,0.3269569422828399
1746,b,0.08791099434261405
1746,r,0.32647535303957276
1747,a,1.5721758884738408
1747,b,1.2707493950455309
1747,r,0.056931473056700266
1748,a,0.5180883244271492
1748,b,3.9679304944936633
1748,r,0.7064033436875726
1749,a,1.4549598510043782
1749,b,1.4854200516504477
1749,r,0.2806293455235072
1750,a,0.8205920777566905
1750,b,1.1870770530442118
1750,r,0.43459359789867763
1751,a,1.874425147931502
1751,b,0.38371749196411464
1751,r,0.5112122936315773
1752,a,0.34016325558549687
1752,b,0.5466621003491864
1752,r,0.573807026162841
1753,a,0.789554166777782
1753,b,1.2515991358009841
1753,r,0.33355099479504685
1754,a,0.003441585414539422
1754,b,0.9248564884237587
1754,r,0.8120278732430498
1755,a,1.9800779311606707
1755,b,0.08764720754844739
1755,r,0.794606312770833
1756,a,0.8322562666380598
1756,b,3.064841503928007
1756,r,0.442516702248962
1757,a,1.0768958310801144
1757,b,1.7226881104797325
1757,r,0.07590900172573345
1758,a,3.131934236111728
1758,b,1.0813026921502784
1758,r,0.3329302453959104
1759,a,0.8704329144907388
1759,b,0.8952668808530305
1759,r,0.15551122139020349
1760,a,0.802006196576672
1760,b,1.8923609218627984
1760,r,0.07429617597911177
1761,a,0.27558536215461293
1761,b,0.048117879935049006
1761,r,0.2796514522017457
1762,a,1.6686316556843754
1762,b,0.21193373312927533
1762,r,0.3231868837546421
1763,a,0.3404530430990254
1763,b,0.03723819287302211
1763,r,0.5074166159845716
1764,a,1.0712182935916545
1764,b,2.146939708089309
1764,r,0.38363863321875663
1765,a,0.001617892954778429
1765,b,0.3928450830316234
1765,r,0.6424929636733601
1766,a,0.10013543497865807
1766,b,0.9489599447392936
1766,r,0.34789487708326244
1767,a,0.08562918199880502
1767,b,0.6456202982709277
1767,r,0.2309662277168762
1768,a,2.0137005440039824
1768,b,1.0494888901091726
1768,r,0.15207856041484324
1769,a,0.4336672718961959
1769,b,1.601648611587296
1769,r,0.13340965568994592
1770,a,1.8030625655523278
1770,b,2.4357780997893403
1770,r,0.08574280503277693
1771,a,0.9043370977803157
1771,b,0.38501338995083084
1771,r,0.31309862843934294
1772,a,0.5171384256901729
1772,b,1.9871547219839736
1772,r,0.37170077326347206
1773,a,1.590773672463629
1773,b,0.17443988810325856
1773,r,0.25726322538350943
1774,a,1.2819839073580082
1774,b,0.18206609082274203
1774,r,0.7329682313706725
1775,a,0.010463405334678603
1775,b,0.7988003535612028
1775,r,0.69873521335836
1776,a,4.431557034694974
1776,b,0.4380227686528171
1776,r,0.1300412357503141
1777,a,0.7398743180920122
1777,b,0.3038934567518944
1777,r,0.35902548007351126
1778,a,1.6174674520819463
1778,b,0.12107781181779496
1778,r,0.3921064528217192
1779,a,1.9064617376690443
1779,b,0.2851334405399228
1779,r,0.6888541753049293
1780,a,1.6299231656553346
1780,b,0.24743034113479231
1780,r,0.819679397428389
1781,a,0.16850025291206325
1781,b,1.2480052680317824
1781,r,0.5108494085953259
1782,a,0.19460983999633663
1782,b,0.11419309102702528
1782,r,0.44236491022045016
1783,a,0.6028978395520024
1783,b,1.1546029422148263
1783,r,0.4373143370792994
1784,a,2.1743237840180396
1784,b,1.2372369684764912
1784,r,0.07435646196994987
1785,a,0.33443358782357757
1785,b,0.6016651083816802
1785,r,0.3822243065038031
1786,a,0.7243045912418269
1786,b,3.1324005105150765
1786,r,0.26005745096039473
1787,a,0.06592280183080514
1787,b,2.339185222550729
1787,r,0.1496907951015999
1788,a,1.189080797462507
1788,b,0.7416038221844433
1788,r,0.45997568928550125
1789,a,0.04157981973616911
1789,b,0.16771862670066265
1789,r,0.5678522052713697
1790,a,0.9065412663508292
1790,b,0.39861484033630185
1790,r,0.5159917944106576
1791,a,0.7866019779854999
1791,b,0.19744197688921514
1791,r,0.3063896318889178
1792,a,0.12303365795849161
1792,b,1.240396128459806
1792,r,0.45103703319390687
1793,a,0.40738365887704875
1793,b,1.4459306650494963
1793,r,0.4966159693274375
1794,a,0.10268762479854149
1794,b,0.7328500455583534
1794,r,0.31044463420834245
1795,a,4.492245271520895
1795,b,0.2967099239951042
1795,r,1.1063799146965667
1796,a,0.2440842967482529
1796,b,0.2514701294602831
1796,r,0.2930476939563792
1797,a,0.35247218633514904
1797,b,0.6751829872073717
1797,r,0.37912802716289323
1798,a,0.24690867985374074
1798,b,0.38898885714369574
1798,r,0.5964491054121495
1799,a,0.3695196370938447
1799,b,0.9312529919221968
1799,r,0.715329496791935
1800,a,0.1760559514744045
1800,b,0.44607718642521216
1800,r,0.0723938682279582
1801,a,2.3198854095484664
1801,b,1.1044819706121247
1801,r,0.2734658666180911
1802,a,6.063722707462212
1802,b,1.36265360047771
1802,r,0.20716982830932756
1803,a,1.2475246969862974
1803,b,1.0337534534590667
1803,r,0.13527502360202945
1804,a,1.8841112488748555
1804,b,0.6834847741410475
1804,r,0.08227449982045912
1805,a,2.091552605878998
1805,b,1.350736834634027
1805,r,0.03556565817819311
1806,a,1.029470983374416
1806,b,0.18942000722095548
1806,r,0.07959502794452519
1807,a,1.7165674796437231
1807,b,0.4070240332220414
1807,r,0.826242019603261
1808,a,0.8700060892163185
1808,b,1.192660203415894
1808,r,0.09240498920327354
1809,a,0.07747765033016729
1809,b,0.5337027668108607
1809,r,0.47382088049024373
1810,a,0.5502944475001086
1810,b,0.8483835761848298
1810,r,0.3253793714895694
1811,a,0.2076127190027244
1811,b,0.8895289736660124
1811,r,0.17066817779424043
1812,a,0.2561150994414439
1812,b,0.8814759984668783
1812,r,0.2267891456238724
1813,a,0.12591311622174078
1813,b,0.37007960673279444
1813,r,0.3138599138912092
1814,a,0.26643788354735387
1814,b,0.08631029523968675
1814,r,0.34844708632275007
1815,a,0.5510722537819666
1815,b,1.6833837485262322
1815,r,0.13105918945334102
1816,a,0.9191677162415596
1816,b,0.06527486880094271
1816,r,0.22354464305191046
1817,a,0.9563609649731152
1817,b,0.2617461109361765
1817,r,0.1693287332433603
1818,a,0.1702075784688169
1818,b,1.2822700252091908
1818,r,0.8441365224466527
1819,a,0.8372554691459207
1819,b,0.31634216683867666
1819,r,0.024066237569206162
1820,a,0.6440001957661263
1820,b,0.9873953266882103
1820,r,0.09266896308405834
1821,a,0.37728542358769174
1821,b,1.2229206590046
1821,r,0.3703012975382993
1822,a,0.4474975917162546
1822,b,0.4091737119307734
1822,r,0.424600377502681
1823,a,5.52078080216558
1823,b,0.23412779631765318
1823,r,0.16991006946137682
1824,a,1.5144787753736084
1824,b,0.29532568627427697
1824,r,0.3929664658114636
1825,a,0.5220069459659685
1825,b,0.5859729000277132
1825,r,0.16198862130517616
1826,a,0.3145569072332936
1826,b,0.6559124503283024
1826,r,0.38124391652707645
1827,a,0.6941262137483297
1827,b,1.5649429089108562
1827,r,0.13073180916944774
1828,a,0.21521716482435346
1828,b,0.32363931553131253
1828,r,1.0870720013411688
1829,a,1.2703795770588724
1829,b,0.2513948644377426
1829,r,0.5480744779335994
1830,a,2.096932593137698
1830,b,1.5025890256644894
1830,r,0.0083931345510137
1831,a,0.8461422089996365
1831,b,0.23283983876922387
1831,r,0.06450397657836897
1832,a,0.43329289044683367
1832,b,0.05342123654020141
1832,r,1.0149742727195867
1833,a,0.9534865572198206
1833,b,0.2981739339120938
1833,r,0.6666918760144008
1834,a,0.817856861322694
1834,b,0.8173029257486351
1834,r,0.16746493915943114
1835,a,0.44814012720507457
1835,b,1.1275440830432883
1835,r,0.07626120391165808
1836,a,0.11804523947833458
1836,b,1.3166268391927793
1836,r,0.24059161943123356
1837,a,0.6536654491573265
1837,b,1.3998986861365132
1837,r,0.6401188121130389
1838,a,0.3506665314933888
1838,b,0.141468612652196
1838,r,0.3306173708993834
1839,a,0.2641674008364769
1839,b,0.9479614920840387
1839,r,0.34773130160747173
