inc_id,id,sampledate,site,rack,inc_depth,light_trt,probe,time_start,time_end,barom_start,barom_end,temp_start,temp_end,o2_sat_start,o2_sat_end,do_start,do_end,column_depth,midge_tubes,tt,ch,tp,or,flag,notes
5,35,2018-07-17,reyk,3,0.5,10,2017,2018-07-17T17:41:00Z,2018-07-17T21:00:00Z,734.8,735.2,13.4,13,98.8,95.8,9.97,9.76,18.5,70,NA,NA,NA,NA,0,NA
6,36,2018-07-17,reyk,3,0.5,0,2012,2018-07-17T17:42:00Z,2018-07-17T21:00:00Z,734.8,735.2,13.4,13.1,104.3,109.4,10.54,11.13,19.2,60,NA,NA,NA,NA,0,NA
7,37,2018-07-17,reyk,3,0.5,1,2017,2018-07-17T17:43:00Z,2018-07-17T21:01:00Z,734.8,735.2,13.4,13,91.3,91.7,9.22,9.34,22,2,NA,NA,NA,NA,0,NA
8,38,2018-07-17,reyk,3,0.5,3,2012,2018-07-17T17:43:00Z,2018-07-17T21:02:00Z,734.8,735.2,13.4,13,101,102.9,10.2,10.49,21.5,70,NA,NA,NA,NA,0,NA
9,39,2018-07-17,reyk,3,0.5,7,2017,2018-07-17T17:45:00Z,2018-07-17T21:03:00Z,734.8,735.2,13.4,12.9,91,83.4,9.19,8.49,17.5,68,NA,NA,NA,NA,0,NA
10,40,2018-07-17,reyk,3,0.5,10,2012,2018-07-17T17:45:00Z,2018-07-17T21:04:00Z,734.8,735.2,13.4,13,102.1,99.8,10.31,10.17,29,2,NA,NA,NA,NA,0,NA
11,41,2018-07-17,reyk,3,0.5,0,2017,2018-07-17T17:46:00Z,2018-07-17T21:06:00Z,734.8,735.2,13.4,13.3,103.7,111.7,10.47,11.3,19,116,NA,NA,NA,NA,0,NA
12,42,2018-07-17,reyk,3,0.5,1,2012,2018-07-17T17:47:00Z,2018-07-17T21:06:00Z,734.8,735.2,13.5,13,97.5,102.7,9.82,10.44,25.5,67,NA,NA,NA,NA,0,NA
13,43,2018-07-17,reyk,2,0.5,3,2017,2018-07-17T17:55:00Z,2018-07-17T21:13:00Z,734.8,735.2,13.3,12.8,102.5,102.8,10.37,10.53,29.5,37,NA,NA,NA,NA,0,NA
14,44,2018-07-17,reyk,2,0.5,7,2012,2018-07-17T17:55:00Z,2018-07-17T21:15:00Z,734.8,735.2,13.5,13.2,97.8,92.3,9.86,9.36,24,81,NA,NA,NA,NA,0,NA
15,45,2018-07-17,reyk,2,0.5,10,2017,2018-07-17T17:57:00Z,2018-07-17T21:16:00Z,734.8,735.2,13.3,12.9,98.2,82.3,9.93,8.91,20.5,91,NA,NA,NA,NA,0,NA
1,46,2018-07-25,st33,4,0.5,0,2012,2018-07-25T12:24:00Z,2018-07-25T13:52:00Z,730.5,730.9,13.5,13.7,122.5,135,12.28,13.47,21.5,5,NA,NA,NA,NA,0,NA
2,47,2018-07-25,st33,4,0.5,1,2017,2018-07-25T12:35:00Z,2018-07-25T13:55:00Z,730.5,730.9,13.1,13.2,123.3,132.7,12.47,13.39,18,1,NA,NA,NA,NA,0,NA
3,48,2018-07-25,st33,4,0.5,3,2012,2018-07-25T12:36:00Z,2018-07-25T13:56:00Z,730.5,730.9,13.1,13.3,120.5,129.3,12.19,13.02,18.5,6,NA,NA,NA,NA,0,NA
4,49,2018-07-25,st33,4,0.5,7,2017,2018-07-25T12:37:00Z,2018-07-25T14:02:00Z,730.5,730.9,13,13.2,115.5,112.6,11.69,11.34,16.5,0,NA,NA,NA,NA,0,NA
5,50,2018-07-25,st33,4,0.5,10,2012,2018-07-25T12:38:00Z,2018-07-25T14:00:00Z,730.5,730.9,13.2,13.2,111.1,101.9,11.21,10.26,16,17,NA,NA,NA,NA,0,NA
6,51,2018-07-25,st33,1,0.5,0,2017,2018-07-25T12:45:00Z,2018-07-25T14:12:00Z,730.5,730.9,13.1,13.5,128.8,151.4,13.02,15.17,17,7,NA,NA,NA,NA,0,NA
7,52,2018-07-25,st33,1,0.5,1,2012,2018-07-25T12:45:00Z,2018-07-25T14:19:00Z,730.5,730.9,13.3,13.8,112.5,115.4,11.32,11.49,20,49,NA,NA,NA,NA,0,NA
8,53,2018-07-25,st33,1,0.5,3,2017,2018-07-25T12:49:00Z,2018-07-25T14:17:00Z,730.5,730.9,13,13.3,106,108.4,10.81,10.92,18.5,8,NA,NA,NA,NA,0,NA
9,54,2018-07-25,st33,1,0.5,7,2012,2018-07-25T12:48:00Z,2018-07-25T14:20:00Z,730.5,730.9,13.2,13.3,115.5,119.8,11.65,12.06,21,17,NA,NA,NA,NA,0,NA
10,55,2018-07-25,st33,1,0.5,10,2017,2018-07-25T12:51:00Z,2018-07-25T14:19:00Z,730.5,730.9,13,13.1,113.5,107.9,11.5,10.9,20.5,35,NA,NA,NA,NA,0,NA
11,56,2018-07-25,st33,1,0.5,0,2012,2018-07-25T12:50:00Z,2018-07-25T14:23:00Z,730.5,730.9,13.3,13.4,127.7,140.6,12.85,14.12,16,4,NA,NA,NA,NA,0,NA
12,57,2018-07-25,st33,1,0.5,1,2017,2018-07-25T12:53:00Z,2018-07-25T14:23:00Z,730.5,730.9,12.9,13.3,123.7,134.9,12.56,13.58,21,31,NA,NA,NA,NA,0,NA
13,58,2018-07-25,st33,1,0.5,3,2012,2018-07-25T12:52:00Z,2018-07-25T14:25:00Z,730.5,730.9,13.1,13.4,112.3,115.4,11.36,11.6,23.5,29,NA,NA,NA,NA,0,NA
14,59,2018-07-25,st33,1,0.5,7,2017,2018-07-25T12:55:00Z,2018-07-25T14:27:00Z,730.5,730.9,13,13.1,122.9,132.3,12.45,13.38,18,11,NA,NA,NA,NA,0,NA
15,60,2018-07-25,st33,1,0.5,10,2012,2018-07-25T12:54:00Z,2018-07-25T14:27:00Z,730.5,730.9,13.2,13.2,115.2,109.3,11.62,11.04,18.5,2,NA,NA,NA,NA,0,NA
1,61,2018-08-10,reyk,4,0.5,0,2012,2018-08-10T15:37:00Z,2018-08-10T17:34:00Z,736,736,13.4,13.3,105.7,115.2,10.69,11.69,23,8,NA,NA,NA,NA,0,NA
2,62,2018-08-10,reyk,4,0.5,1,2017,2018-08-10T15:38:00Z,2018-08-10T17:34:00Z,736,736,12.3,13.2,103.2,110.3,10.7,11.2,23.5,7,NA,NA,NA,NA,0,NA
3,63,2018-08-10,reyk,4,0.5,3,2012,2018-08-10T15:42:00Z,2018-08-10T17:38:00Z,736,736,12.9,12.9,105.1,109.4,10.75,11.2,19.5,3,NA,NA,NA,NA,0,NA
