sampledate,site,time,depth,par
2018-08-10,grim,2018-08-10T13:52:00Z,2,180
2018-08-10,grim,2018-08-10T13:52:00Z,2.5,100
2018-08-10,grim,2018-08-10T13:52:00Z,3,75
2018-08-10,grim,2018-08-10T13:52:00Z,3.5,45
2018-08-10,grim,2018-08-10T13:52:00Z,4,30
2018-08-10,reyk,2018-08-10T14:59:00Z,0.05,1300
2018-08-10,reyk,2018-08-10T14:59:00Z,0.5,800
2018-08-10,reyk,2018-08-10T14:59:00Z,1,600
2018-08-10,reyk,2018-08-10T14:59:00Z,1.5,370
2018-08-10,reyk,2018-08-10T14:59:00Z,2,250
2018-08-10,reyk,2018-08-10T14:59:00Z,2.5,180
2018-08-10,reyk,2018-08-10T14:59:00Z,3,130
2018-08-10,reyk,2018-08-10T14:59:00Z,3.5,80
2018-08-10,reyk,2018-08-10T14:59:00Z,4,60
2018-08-10,reyk,2018-08-10T16:06:00Z,0.05,1130
2018-08-10,reyk,2018-08-10T16:06:00Z,0.5,780
2018-08-10,reyk,2018-08-10T16:06:00Z,1,490
2018-08-10,reyk,2018-08-10T16:06:00Z,1.5,325
2018-08-10,reyk,2018-08-10T16:06:00Z,2,160
2018-08-10,grim,2018-08-10T16:52:00Z,0.05,190
2018-08-10,grim,2018-08-10T16:52:00Z,0.5,130
2018-08-10,grim,2018-08-10T16:52:00Z,1,81
2018-08-10,grim,2018-08-10T16:52:00Z,1.5,40
2018-08-10,grim,2018-08-10T16:52:00Z,2,30
2018-08-10,grim,2018-08-10T16:52:00Z,2.5,20
2018-08-10,grim,2018-08-10T16:52:00Z,3,15
2018-08-10,grim,2018-08-10T16:52:00Z,3.5,10
2018-08-10,grim,2018-08-10T16:52:00Z,4,7
2018-08-10,reyk,2018-08-10T17:58:00Z,0.05,700
2018-08-10,reyk,2018-08-10T17:58:00Z,0.5,430
2018-08-10,reyk,2018-08-10T17:58:00Z,1,280
2018-08-10,reyk,2018-08-10T17:58:00Z,1.5,100
2018-08-10,reyk,2018-08-10T17:58:00Z,2,50
2018-08-10,reyk,2018-08-10T18:50:00Z,0.05,360
2018-08-10,reyk,2018-08-10T18:50:00Z,0.5,240
2018-08-10,reyk,2018-08-10T18:50:00Z,1,140
2018-08-10,reyk,2018-08-10T18:50:00Z,1.5,105
2018-08-10,reyk,2018-08-10T18:50:00Z,2,70
2018-08-10,reyk,2018-08-10T18:50:00Z,2.5,50
2018-08-12,st33,2018-08-12T12:50:00Z,-0.05,1500
2018-08-12,st33,2018-08-12T12:50:00Z,0.05,20
2018-08-12,st33,2018-08-12T12:50:00Z,0.5,0
2018-08-12,st33,2018-08-12T12:50:00Z,1,0
2018-08-12,st33,2018-08-12T12:50:00Z,1.5,0
2018-08-12,st33,2018-08-12T12:50:00Z,2,0
2018-08-12,st33,2018-08-12T12:50:00Z,2.5,0
2018-08-12,st33,2018-08-12T12:50:00Z,3,0
2018-08-12,kal,2018-08-12T15:19:00Z,-0.05,1200
2018-08-12,kal,2018-08-12T15:19:00Z,0.05,846
2018-08-12,kal,2018-08-12T15:19:00Z,0.5,636
2018-08-12,kal,2018-08-12T15:19:00Z,1,544
2018-08-12,kal,2018-08-12T15:19:00Z,1.5,481
2018-08-13,kal,2018-08-13T09:13:00Z,-0.05,1280
2018-08-13,kal,2018-08-13T09:13:00Z,0.05,240
2018-08-13,kal,2018-08-13T09:13:00Z,0.5,160
2018-08-13,kal,2018-08-13T09:13:00Z,1,128
2018-08-13,kal,2018-08-13T09:13:00Z,1.5,108
2018-08-13,kal,2018-08-13T09:13:00Z,2,91
2018-08-13,kal,2018-08-13T17:30:00Z,-0.05,950
2018-08-13,kal,2018-08-13T17:30:00Z,0.05,800
2018-08-13,kal,2018-08-13T17:30:00Z,0.5,680
2018-08-13,kal,2018-08-13T17:30:00Z,1,480
2018-08-13,kal,2018-08-13T17:30:00Z,1.5,300
2018-08-13,kal,2018-08-13T17:30:00Z,2,230
2018-08-15,reyk,2018-08-15T12:35:00Z,-0.05,750
2018-08-15,reyk,2018-08-15T12:35:00Z,0.05,435
2018-08-15,reyk,2018-08-15T12:35:00Z,0.5,263
2018-08-15,reyk,2018-08-15T12:35:00Z,1,108
2018-08-15,reyk,2018-08-15T12:35:00Z,1.5,57
2018-08-15,reyk,2018-08-15T12:35:00Z,2,28
2018-08-15,reyk,2018-08-15T14:54:00Z,-0.05,321
2018-08-15,reyk,2018-08-15T14:54:00Z,0.05,201
2018-08-15,reyk,2018-08-15T14:54:00Z,0.5,113
2018-08-15,reyk,2018-08-15T14:54:00Z,1,78
2018-08-15,reyk,2018-08-15T14:54:00Z,1.5,47
2018-08-15,reyk,2018-08-15T14:54:00Z,2,35
2018-08-15,reyk,2018-08-15T14:54:00Z,2.5,25
2018-08-15,st33,2018-08-15T16:46:00Z,-0.05,1161
2018-08-15,st33,2018-08-15T16:46:00Z,0.05,744
2018-08-15,st33,2018-08-15T16:46:00Z,0.5,347
2018-08-15,st33,2018-08-15T16:46:00Z,1,175
2018-08-15,st33,2018-08-15T16:46:00Z,1.5,110
2018-08-15,st33,2018-08-15T16:46:00Z,2,70
2018-08-15,st33,2018-08-15T16:46:00Z,2.5,45
2018-08-15,st33,2018-08-15T16:46:00Z,3,30
2018-08-15,st33,2018-08-15T17:50:00Z,-0.05,269
2018-08-15,st33,2018-08-15T17:50:00Z,0.05,168
2018-08-15,st33,2018-08-15T17:50:00Z,0.5,80
2018-08-15,st33,2018-08-15T17:50:00Z,1,46
