id,sampledate,site,rack,par,temp,midge_tubes,do_flux
71,2018-08-10,reyk,4,453.4949761237642,12.8,3,0.08715789473684198
72,2018-08-10,reyk,4,334.58672005947193,12.6,0,0.09499090909090895
73,2018-08-10,reyk,2,188.76049590982743,13.05,15,0.05548672566371671
74,2018-08-10,reyk,2,103.10443976246393,12.6,3,0.06600000000000002
75,2018-08-10,reyk,2,0,12.75,2,-0.03575675675675669
76,2018-08-12,st33,3,512.6534432132484,13.5,4,0.06150000000000003
77,2018-08-12,st33,3,378.2335927026979,14.100000000000001,21,0.08099999999999988
78,2018-08-12,st33,3,213.38432235333954,13.5,14,0.041538461538461476
79,2018-08-12,st33,3,116.5544247184225,13.2,7,0.08250000000000011
80,2018-08-12,st33,3,0,14.5,6,-0.06615384615384638
81,2018-08-12,st33,3,512.6534432132484,13.1,6,0.037500000000000006
82,2018-08-12,st33,3,378.2335927026979,13.05,11,0.08153846153846171
83,2018-08-12,st33,3,213.38432235333954,13.4,49,0.06899999999999987
84,2018-08-12,st33,3,116.5544247184225,13.4,3,0.10597402597402593
85,2018-08-12,st33,3,0,13.399999999999999,5,-0.06987341772151912
86,2018-08-12,st33,3,512.6534432132484,14.7,14,0.12155844155844146
87,2018-08-12,st33,3,378.2335927026979,13.55,32,0.0661538461538461
88,2018-08-12,st33,1,213.38432235333954,13.05,24,0.04363636363636353
89,2018-08-12,st33,1,116.5544247184225,13.35,9,0.09789473684210542
90,2018-08-12,st33,1,0,14.3,57,-0.029230769230769154
91,2019-07-22,e5,2,110.41861962362398,12.850000000000001,NA,0.018318181818181803
92,2019-07-22,e5,2,60.105574451900665,12.850000000000001,NA,0.024934782608695697
93,2019-07-22,e5,2,19.130202727661654,12.75,NA,0.022749999999999982
94,2019-07-22,e5,2,5.707581040183898,12.8,NA,-0.040993150684931534
95,2019-07-22,e5,2,0,12.7,NA,-0.07067999999999998
96,2019-07-22,e5,2,110.41861962362398,12.850000000000001,NA,0.07034482758620687
97,2019-07-22,e5,2,60.105574451900665,12.9,NA,0.011731707317073244
98,2019-07-22,e5,2,19.130202727661654,12.8,NA,0.0027580645161291366
99,2019-07-22,e5,2,5.707581040183898,12.75,NA,-0.05206299212598426
100,2019-07-22,e5,2,0,12.7,NA,-0.07287022900763356
101,2019-07-22,e5,2,110.41861962362398,12.850000000000001,NA,0.0748484848484849
102,2019-07-22,e5,2,60.105574451900665,12.8,NA,0.05665573770491809
103,2019-07-22,e5,1,19.130202727661654,12.850000000000001,NA,0.028285714285714292
104,2019-07-22,e5,1,5.707581040183898,12.850000000000001,NA,-8.87999999999981e-4
105,2019-07-22,e5,1,0,12.8,NA,-0.05334677419354845
106,2019-07-22,reyk,1,74.03181702801645,13.05,NA,0.027199999999999988
107,2019-07-22,reyk,1,54.620368788136126,13.350000000000001,NA,0.01909090909090901
108,2019-07-22,reyk,1,30.81463573148877,13.25,NA,-0.009343373493975855
109,2019-07-22,reyk,1,16.83151836545976,13.350000000000001,NA,-0.0025373493975904575
110,2019-07-22,reyk,1,0,13.4,NA,-0.0503132530120482
111,2019-07-22,reyk,1,74.03181702801645,13.350000000000001,NA,0.03615089820359279
112,2019-07-22,reyk,1,54.620368788136126,13.350000000000001,NA,8.407185628742336e-4
113,2019-07-22,reyk,1,30.81463573148877,13.4,NA,-0.021858682634730522
114,2019-07-22,reyk,1,16.83151836545976,13.45,NA,-0.02479041916167671
115,2019-07-22,reyk,1,0,13.4,NA,-0.03677142857142868
116,2019-07-22,reyk,2,74.03181702801645,13.4,NA,0.05235254237288136
117,2019-07-22,reyk,2,54.620368788136126,13.45,NA,0.022210169491525513
118,2019-07-22,reyk,2,30.81463573148877,13.4,NA,0.046537078651685375
119,2019-07-22,reyk,2,16.83151836545976,13.45,NA,-0.022988764044943724
120,2019-07-22,reyk,2,0,13.4,NA,-0.025601123595505655
