id,sampledate,site,rack,par,temp,do_flux
55,2018-07-17,reyk,1,25.710679656302386,13.149999999999999,0.008215767634854742
56,2018-07-17,reyk,1,7.670895589849849,13,-0.0012323651452281895
57,2018-07-17,reyk,1,0,13.25,-0.017324999999999997
58,2018-07-17,reyk,1,148.4008192515957,13.05,0.0037436974789915906
59,2018-07-17,reyk,1,148.4008192515957,13.25,0.006136363636363651
68,2018-07-25,st33,3,140.02434080839217,13.6,0.005910447761194035
69,2018-07-25,st33,3,103.30938022736463,13.5,0.0036940298507461894
70,2018-07-25,st33,3,58.283035980591414,13.55,0.011082089552238831
71,2018-07-25,st33,3,31.83526162860407,13.25,0.008066666666666625
72,2018-07-25,st33,3,0,13.399999999999999,-0.020686567164179055
73,2018-07-25,st33,3,140.02434080839217,13.35,0.016193308550185918
74,2018-07-25,st33,3,103.30938022736463,13.399999999999999,0.0331226765799256
75,2018-07-25,st33,3,58.283035980591414,13.25,0.0014612546125462242
76,2018-07-25,st33,3,31.83526162860407,13.35,0.037820224719101105
77,2018-07-25,st33,3,0,13.35,-0.03068634686346863
78,2018-07-25,st33,4,140.02434080839217,13.45,0.03785294117647056
79,2018-07-25,st33,4,103.30938022736463,13.2,0.01383088235294114
80,2018-07-25,st33,4,58.283035980591414,13.4,0.011647058823529424
81,2018-07-25,st33,4,31.83526162860407,13.2,-0.015286764705882286
82,2018-07-25,st33,4,0,13.5,-0.029117647058823557
83,2018-07-25,st33,4,140.02434080839217,13.3,0.00956877323420067
84,2018-07-25,st33,4,140.02434080839217,13.55,0.014612546125461333
85,2018-08-10,reyk,1,337.89331202620883,12.8,0.0026283185840708183
86,2018-08-10,reyk,1,249.2962898226837,12.8,0.013670378619153697
87,2018-08-10,reyk,1,140.64303355209532,12.95,0.01143999999999999
88,2018-08-10,reyk,1,76.82180061557702,12.45,0.025248322147651017
89,2018-08-10,reyk,1,0,13,-0.007530201342281877
90,2018-08-10,reyk,1,337.89331202620883,12.75,0.015608108108108091
91,2018-08-10,reyk,1,249.2962898226837,13.05,0.02872767857142851
92,2018-08-10,reyk,1,140.64303355209532,12.75,0.02491685393258429
93,2018-08-10,reyk,1,76.82180061557702,12.3,0.012599999999999972
94,2018-08-10,reyk,1,0,12.350000000000001,-0.010726862302482999
95,2018-08-10,reyk,3,337.89331202620883,13.55,0.0121776765375854
96,2018-08-10,reyk,3,249.2962898226837,13.05,0.02024999999999997
97,2018-08-10,reyk,3,140.64303355209532,12.8,0.026671232876712324
98,2018-08-10,reyk,3,76.82180061557702,12.05,0.013592677345537709
99,2018-08-10,reyk,3,0,12.399999999999999,-0.0068119266055046025
100,2018-08-10,reyk,3,337.89331202620883,12.25,0.004562211981566885
101,2018-08-10,reyk,3,337.89331202620883,12.649999999999999,0.014565517241379323
110,2018-08-13,st33,3,231.6174787709486,12.4,0.03855198487712663
111,2018-08-13,st33,3,170.8864190576313,12.25,0.0328114285714286
112,2018-08-13,st33,3,96.40730869366105,12.149999999999999,0.04124999999999998
113,2018-08-13,st33,3,52.65943757964737,12.05,0.06100945179584116
114,2018-08-13,st33,3,0,12.399999999999999,-0.004856603773584868
115,2018-08-13,st33,3,231.6174787709486,12.05,0.03469714285714286
116,2018-08-13,st33,3,170.8864190576313,12.35,0.06276226415094338
117,2018-08-13,st33,3,96.40730869366105,11.9,0.054205323193916397
118,2018-08-13,st33,3,52.65943757964737,12.2,0.06276226415094338
119,2018-08-13,st33,3,0,11.9,-0.03394285714285709
120,2018-08-13,st33,4,231.6174787709486,12.649999999999999,0.04154631379962191
121,2018-08-13,st33,4,170.8864190576313,11.8,0.04261714285714289
122,2018-08-13,st33,4,96.40730869366105,12.25,0.03705482041587902
123,2018-08-13,st33,4,52.65943757964737,11.850000000000001,0.04551724137931039
124,2018-08-13,st33,4,0,12.305,-0.03212830188679243
125,2018-08-13,st33,4,231.6174787709486,12.5,0.013707692307692287
126,2018-08-13,st33,4,231.6174787709486,12.6,0.028231939163498095
127,2018-08-15,reyk,3,69.91916096936265,12.350000000000001,-0.0012692307692307421
128,2018-08-15,reyk,3,51.58606813687124,11.850000000000001,0.006783725910064171
129,2018-08-15,reyk,3,29.10280420520923,12.15,-0.005165217391304313
130,2018-08-15,reyk,3,15.896484635896504,12,0.0064705882352941325
131,2018-08-15,reyk,3,0,12.350000000000001,-0.024369230769230792
132,2018-08-15,reyk,3,69.91916096936265,12.35,-0.00881030444964869
133,2018-08-15,reyk,3,51.58606813687124,12.2,-0.0017878103837472195
134,2018-08-15,reyk,3,29.10280420520923,11.899999999999999,-0.0067500000000000155
135,2018-08-15,reyk,3,15.896484635896504,12.05,-0.007827906976744183
136,2018-08-15,reyk,3,0,12.3,-0.017376443418013813
137,2018-08-15,reyk,4,69.91916096936265,12.35,-0.003292161520190037
138,2018-08-15,reyk,4,51.58606813687124,12.05,0.00379856115107914
139,2018-08-15,reyk,4,29.10280420520923,12,-0.007689320388349522
140,2018-08-15,reyk,4,15.896484635896504,12,0.0019364303178483696
141,2018-08-15,reyk,4,0,12.4,-0.02295652173913037
142,2018-08-15,st33,1,77.81020300090337,11.6,-0.004051150895140669
143,2018-08-15,st33,1,57.40804635094541,11.649999999999999,-0.016204603580562676
144,2018-08-15,st33,1,32.3873323379143,11.5,-0.03042187499999999
145,2018-08-15,st33,1,17.690554053728423,11.55,-0.035338582677165345
146,2018-08-15,st33,1,0,11.399999999999999,-0.034690026954177916
147,2018-08-15,st33,1,77.81020300090337,11.45,-0.03409999999999996
148,2018-08-15,st33,1,57.40804635094541,11.35,-0.04200000000000007
149,2018-08-15,st33,1,32.3873323379143,11.55,-0.03722615803814721
150,2018-08-15,st33,1,17.690554053728423,11.6,-0.033532258064516075
151,2018-08-15,st33,1,0,11.7,-0.03025737265415551
152,2018-08-15,st33,2,77.81020300090337,11.75,-0.015153061224489742
153,2018-08-15,st33,2,57.40804635094541,11.8,-0.023984536082474257
154,2018-08-15,st33,2,32.3873323379143,11.7,-0.023939546599496247
155,2018-08-15,st33,2,17.690554053728423,NA,NA
156,2018-08-15,st33,2,0,11.7,-0.02595886889460153
157,2019-07-11,reyk,1,131.89460724330402,14.8,-0.0024672897196262255
158,2019-07-11,reyk,1,97.31129638584068,14.7,0.01665420560747661
159,2019-07-11,reyk,1,54.89915606977625,14.75,0.00804375000000005
160,2019-07-11,reyk,1,29.98692445007322,14.7,0.0031132075471698556
161,2019-07-11,reyk,1,0,14.8,-0.029981072555205077
162,2019-07-11,reyk,1,131.89460724330402,14.75,0.03508860759493674
163,2019-07-11,reyk,1,97.31129638584068,14.8,0.021861198738170325
164,2019-07-11,reyk,1,54.89915606977625,14.8,0.0187381703470032
165,2019-07-11,reyk,1,29.98692445007322,14.75,0.01998738170347005
166,2019-07-11,reyk,1,0,14.8,-0.01867924528301891
167,2019-07-11,reyk,2,131.89460724330402,14.899999999999999,0.051358361774744
168,2019-07-11,reyk,2,97.31129638584068,14.85,0.05085616438356165
169,2019-07-11,reyk,2,54.89915606977625,14.85,0.04662798634812294
170,2019-07-11,reyk,2,29.98692445007322,14.85,0.03784300341296931
171,2019-07-11,reyk,2,0,14.899999999999999,-0.015542662116040985
172,2019-07-22,e5,1,138.2692633709835,12.2,0.0014042553191489064
173,2019-07-22,e5,1,0,12.350000000000001,-0.012803695150115443
174,2019-07-22,e5,1,138.2692633709835,12.15,-0.0032535211267605765
175,2019-07-22,e5,1,0,12.25,-0.014465753424657548
176,2019-07-22,e5,1,138.2692633709835,12.05,-0.0051489361702127395
177,2019-07-25,st33,3,402.94470630022363,11.65,-0.0021153846153845702
178,2019-07-25,st33,3,297.2909397997941,11.45,-0.01903846153846151
179,2019-07-25,st33,3,167.7197027309786,11.45,8.443496801705578e-4
180,2019-07-25,st33,3,91.61157319413587,11.45,-0.0033630573248407676
181,2019-07-25,st33,3,0,11.45,-0.006319148936170227
182,2019-07-25,st33,3,402.94470630022363,11.5,-0.011447537473233385
183,2019-07-25,st33,3,297.2909397997941,11.5,-0.013538461538461551
184,2019-07-25,st33,3,167.7197027309786,11.5,-0.019800000000000026
185,2019-07-25,st33,3,91.61157319413587,11.5,-0.00886567164179108
186,2019-07-25,st33,3,0,11.6,-0.006346153846153861
187,2019-08-04,e5,1,804.2263635844881,14.75,-0.02948936170212763
188,2019-08-04,e5,1,593.3548889054376,14.8,0.005055319148936212
189,2019-08-04,e5,1,334.7471862015412,14.600000000000001,-0.016851063829787176
190,2019-08-04,e5,1,182.84504355116073,14.5,-0.0016229508196720966
191,2019-08-04,e5,1,0,14.649999999999999,-8.319327731092259e-4
192,2019-08-04,e5,1,804.2263635844881,14.7,-0.02792307692307693
193,2019-08-04,e5,1,593.3548889054376,14.75,-0.010153846153846088
194,2019-08-04,e5,1,334.7471862015412,14.75,-0.0025493562231760623
195,2019-08-04,e5,1,182.84504355116073,14.6,-0.0025493562231759114
196,2019-08-04,e5,1,0,14.649999999999999,-0.006827586206896558
