Plot Title: plagic LG st.33 15aug18,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349961, SEN S/N: 10349961)","Intensity, Lux (LGR S/N: 10349961, SEN S/N: 10349961)",End Of File (LGR S/N: 10349961),,
260,2018-08-15 12:19:00,16.046,2583.4,,,
261,2018-08-15 12:20:00,16.046,2669.5,,,
262,2018-08-15 12:21:00,16.523,44089.2,,,
263,2018-08-15 12:22:00,17.189,42711.4,,,
264,2018-08-15 12:23:00,17.76,42711.4,,,
265,2018-08-15 12:24:00,18.236,34444.7,,,
266,2018-08-15 12:25:00,18.616,41333.6,,,
267,2018-08-15 12:26:00,18.996,39955.8,,,
268,2018-08-15 12:27:00,19.377,39955.8,,,
269,2018-08-15 12:28:00,19.662,39955.8,,,
270,2018-08-15 12:29:00,19.948,42711.4,,,
271,2018-08-15 12:30:00,20.234,44089.2,,,
272,2018-08-15 12:31:00,20.519,38578,,,
273,2018-08-15 12:32:00,20.805,38578,,,
274,2018-08-15 12:33:00,20.805,33066.9,,,
275,2018-08-15 12:34:00,21.091,44089.2,,,
276,2018-08-15 12:35:00,21.282,38578,,,
277,2018-08-15 12:36:00,21.378,26178,,,
278,2018-08-15 12:37:00,21.378,20666.8,,,
279,2018-08-15 12:38:00,21.282,20666.8,,,
280,2018-08-15 12:39:00,21.282,13777.9,,,
281,2018-08-15 12:40:00,21.187,6200,,,
282,2018-08-15 12:41:00,21.091,12400.1,,,
283,2018-08-15 12:42:00,20.901,9644.5,,,
284,2018-08-15 12:43:00,20.71,4133.4,,,
285,2018-08-15 12:44:00,20.519,5511.1,,,
286,2018-08-15 12:45:00,20.234,6200,,,
287,2018-08-15 12:46:00,20.043,4305.6,,,
288,2018-08-15 12:47:00,19.853,4822.3,,,
289,2018-08-15 12:48:00,19.567,4994.5,,,
290,2018-08-15 12:49:00,19.377,4994.5,,,
291,2018-08-15 12:50:00,19.187,5338.9,,,
292,2018-08-15 12:51:00,19.092,9300.1,,,
293,2018-08-15 12:52:00,19.092,9300.1,,,
294,2018-08-15 12:53:00,18.996,9300.1,,,
295,2018-08-15 12:54:00,18.806,3961.1,,,
296,2018-08-15 12:55:00,18.711,3788.9,,,
297,2018-08-15 12:56:00,18.616,3616.7,,,
298,2018-08-15 12:57:00,18.616,3616.7,,,
299,2018-08-15 12:58:00,18.521,3272.2,,,
300,2018-08-15 12:59:00,18.426,3616.7,,,
301,2018-08-15 13:00:00,18.426,3272.2,,,
302,2018-08-15 13:01:00,18.331,3788.9,,,
303,2018-08-15 13:02:00,18.331,3444.5,,,
304,2018-08-15 13:03:00,18.331,3788.9,,,
305,2018-08-15 13:04:00,18.331,3272.2,,,
306,2018-08-15 13:05:00,18.331,3616.7,,,
307,2018-08-15 13:06:00,18.236,3272.2,,,
308,2018-08-15 13:07:00,18.236,3272.2,,,
309,2018-08-15 13:08:00,18.236,3444.5,,,
310,2018-08-15 13:09:00,18.236,1259.4,,,
311,2018-08-15 13:10:00,18.14,1205.6,,,
312,2018-08-15 13:11:00,18.045,1324,,,
313,2018-08-15 13:12:00,18.045,1894.5,,,
314,2018-08-15 13:13:00,17.95,1722.2,,,
315,2018-08-15 13:14:00,17.855,1808.3,,,
316,2018-08-15 13:15:00,17.855,1722.2,,,
317,2018-08-15 13:16:00,17.76,1636.1,,,
318,2018-08-15 13:17:00,17.76,1808.3,,,
319,2018-08-15 13:18:00,17.76,1722.2,,,
320,2018-08-15 13:19:00,17.665,1722.2,,,
321,2018-08-15 13:20:00,17.665,1636.1,,,
322,2018-08-15 13:21:00,17.665,1550,,,
323,2018-08-15 13:22:00,17.57,1894.5,,,
324,2018-08-15 13:23:00,17.57,1248.6,,,
325,2018-08-15 13:24:00,17.475,925.7,,,
326,2018-08-15 13:25:00,17.284,979.5,,,
327,2018-08-15 13:26:00,17.094,1044.1,,,
328,2018-08-15 13:27:00,16.903,828.8,,,
329,2018-08-15 13:28:00,16.808,925.7,,,
330,2018-08-15 13:29:00,16.618,925.7,,,
331,2018-08-15 13:30:00,16.523,925.7,,,
332,2018-08-15 13:31:00,16.523,1377.8,,,
333,2018-08-15 13:32:00,16.427,1054.9,,,
334,2018-08-15 13:33:00,16.332,1377.8,,,
335,2018-08-15 13:34:00,16.237,1313.2,,,
336,2018-08-15 13:35:00,16.141,1302.4,,,
337,2018-08-15 13:36:00,16.141,1313.2,,,
338,2018-08-15 13:37:00,16.046,1162.5,,,
339,2018-08-15 13:38:00,16.046,1345.5,,,
340,2018-08-15 13:39:00,15.951,1205.6,,,
341,2018-08-15 13:40:00,15.951,1313.2,,,
342,2018-08-15 13:41:00,15.855,1162.5,,,
343,2018-08-15 13:42:00,15.855,1259.4,,,
344,2018-08-15 13:43:00,15.76,1151.7,,,
345,2018-08-15 13:44:00,15.76,731.9,,,
346,2018-08-15 13:45:00,15.664,914.9,,,
347,2018-08-15 13:46:00,15.664,990.3,,,
348,2018-08-15 13:47:00,15.664,1011.8,,,
349,2018-08-15 13:48:00,15.569,925.7,,,
350,2018-08-15 13:49:00,15.569,968.8,,,
351,2018-08-15 13:50:00,15.569,925.7,,,
352,2018-08-15 13:51:00,15.473,958,,,
353,2018-08-15 13:52:00,15.473,968.8,,,
354,2018-08-15 13:53:00,15.378,979.5,,,
355,2018-08-15 13:54:00,15.378,958,,,
356,2018-08-15 13:55:00,15.378,850.4,,,
357,2018-08-15 13:56:00,15.378,925.7,,,
358,2018-08-15 13:57:00,15.282,882.6,,,
359,2018-08-15 13:58:00,15.282,807.3,,,
360,2018-08-15 13:59:00,15.282,731.9,,,
361,2018-08-15 14:00:00,15.187,775,,,
362,2018-08-15 14:01:00,15.187,796.5,,,
363,2018-08-15 14:02:00,15.187,807.3,,,
364,2018-08-15 14:03:00,15.091,699.7,,,
365,2018-08-15 14:04:00,15.091,688.9,,,
366,2018-08-15 14:05:00,14.996,699.7,,,
367,2018-08-15 14:06:00,14.996,624.3,,,
368,2018-08-15 14:07:00,14.996,914.9,,,
369,2018-08-15 14:08:00,14.996,871.9,,,
370,2018-08-15 14:09:00,14.996,818.1,,,
371,2018-08-15 14:10:00,14.996,742.7,,,
372,2018-08-15 14:11:00,14.9,710.4,,,
373,2018-08-15 14:12:00,14.9,710.4,,,
374,2018-08-15 14:13:00,14.9,764.2,,,
375,2018-08-15 14:14:00,14.9,699.7,,,
376,2018-08-15 14:15:00,14.9,764.2,,,
377,2018-08-15 14:16:00,14.9,764.2,,,
378,2018-08-15 14:17:00,14.9,828.8,,,
379,2018-08-15 14:18:00,14.804,775,,,
380,2018-08-15 14:19:00,14.804,775,,,
381,2018-08-15 14:20:00,14.804,828.8,,,
382,2018-08-15 14:21:00,14.804,1194.8,,,
383,2018-08-15 14:22:00,14.9,1130.2,,,
384,2018-08-15 14:23:00,14.9,1356.3,,,
385,2018-08-15 14:24:00,14.9,1141,,,
386,2018-08-15 14:25:00,14.9,1194.8,,,
387,2018-08-15 14:26:00,14.996,1377.8,,,
388,2018-08-15 14:27:00,14.996,796.5,,,
389,2018-08-15 14:28:00,14.996,904.2,,,
390,2018-08-15 14:29:00,14.996,925.7,,,
391,2018-08-15 14:30:00,15.091,893.4,,,
392,2018-08-15 14:31:00,15.091,882.6,,,
393,2018-08-15 14:32:00,15.091,731.9,,,
394,2018-08-15 14:33:00,15.091,570.5,,,
395,2018-08-15 14:34:00,15.091,484.4,,,
396,2018-08-15 14:35:00,15.091,452.1,,,
397,2018-08-15 14:36:00,15.091,430.6,,,
398,2018-08-15 14:37:00,15.091,430.6,,,
399,2018-08-15 14:38:00,14.996,409,,,
400,2018-08-15 14:39:00,14.996,387.5,,,
401,2018-08-15 14:40:00,14.996,366,,,
402,2018-08-15 14:41:00,14.996,376.7,,,
403,2018-08-15 14:42:00,14.996,366,,,
404,2018-08-15 14:43:00,14.996,333.7,,,
405,2018-08-15 14:44:00,14.9,312.2,,,
406,2018-08-15 14:45:00,14.9,290.6,,,
407,2018-08-15 14:46:00,14.9,269.1,,,
408,2018-08-15 14:47:00,14.9,269.1,,,
409,2018-08-15 14:48:00,14.9,258.3,,,
410,2018-08-15 14:49:00,14.804,333.7,,,
411,2018-08-15 14:50:00,14.804,301.4,,,
412,2018-08-15 14:51:00,14.804,333.7,,,
