inc_id,id,sampledate,site,rack,inc_depth,light_trt,probe,time_start,time_end,duration,barom_start,barom_end,temp_start,temp_end,o2_sat_start,o2_sat_end,do_start,do_end,column_depth,do_flux,midge_tubes,tt,ch,tp,or,flag,notes
10,40,2018-07-17,reyk,3,0.5,10,2012,2018-07-17 17:45,2018-07-17 21:04,3.32,734.8,735.2,13.4,13.0,102.1,99.8,10.31,10.17,29.0,-0.0122,2,NA,NA,NA,NA,0,
11,41,2018-07-17,reyk,3,0.5,0,2017,2018-07-17 17:46,2018-07-17 21:06,3.33,734.8,735.2,13.4,13.3,103.7,111.7,10.47,11.30,19.0,0.0473,116,NA,NA,NA,NA,0,
12,42,2018-07-17,reyk,3,0.5,1,2012,2018-07-17 17:47,2018-07-17 21:06,3.32,734.8,735.2,13.5,13.0,97.5,102.7,9.82,10.44,25.5,0.0477,67,NA,NA,NA,NA,0,
13,43,2018-07-17,reyk,2,0.5,3,2017,2018-07-17 17:55,2018-07-17 21:13,3.30,734.8,735.2,13.3,12.8,102.5,102.8,10.37,10.53,29.5,0.0143,37,NA,NA,NA,NA,0,
14,44,2018-07-17,reyk,2,0.5,7,2012,2018-07-17 17:55,2018-07-17 21:15,3.33,734.8,735.2,13.5,13.2,97.8,92.3,9.86,9.36,24.0,-0.0360,81,NA,NA,NA,NA,0,
15,45,2018-07-17,reyk,2,0.5,10,2017,2018-07-17 17:57,2018-07-17 21:16,3.32,734.8,735.2,13.3,12.9,98.2,82.3,9.93,8.91,20.5,-0.0630,91,NA,NA,NA,NA,0,
1,46,2018-07-25,st33,4,0.5,0,2012,2018-07-25 12:24,2018-07-25 13:52,1.47,730.5,730.9,13.5,13.7,122.5,135.0,12.28,13.47,21.5,0.1744,5,NA,NA,NA,NA,0,
2,47,2018-07-25,st33,4,0.5,1,2017,2018-07-25 12:35,2018-07-25 13:55,1.33,730.5,730.9,13.1,13.2,123.3,132.7,12.47,13.39,18.0,0.1242,1,NA,NA,NA,NA,0,
3,48,2018-07-25,st33,4,0.5,3,2012,2018-07-25 12:36,2018-07-25 13:56,1.33,730.5,730.9,13.1,13.3,120.5,129.3,12.19,13.02,18.5,0.1152,6,NA,NA,NA,NA,0,
4,49,2018-07-25,st33,4,0.5,7,2017,2018-07-25 12:37,2018-07-25 14:02,1.42,730.5,730.9,13.0,13.2,115.5,112.6,11.69,11.34,16.5,-0.0408,0,NA,NA,NA,NA,0,
5,50,2018-07-25,st33,4,0.5,10,2012,2018-07-25 12:38,2018-07-25 14:00,1.37,730.5,730.9,13.2,13.2,111.1,101.9,11.21,10.26,16.0,-0.1112,17,NA,NA,NA,NA,0,
6,51,2018-07-25,st33,1,0.5,0,2017,2018-07-25 12:45,2018-07-25 14:12,1.45,730.5,730.9,13.1,13.5,128.8,151.4,13.02,15.17,17.0,0.2521,7,NA,NA,NA,NA,0,
7,52,2018-07-25,st33,1,0.5,1,2012,2018-07-25 12:45,2018-07-25 14:19,1.57,730.5,730.9,13.3,13.8,112.5,115.4,11.32,11.49,20.0,0.0217,49,NA,NA,NA,NA,0,
8,53,2018-07-25,st33,1,0.5,3,2017,2018-07-25 12:49,2018-07-25 14:17,1.47,730.5,730.9,13.0,13.3,106.0,108.4,10.81,10.92,18.5,0.0139,8,NA,NA,NA,NA,0,
9,54,2018-07-25,st33,1,0.5,7,2012,2018-07-25 12:48,2018-07-25 14:20,1.53,730.5,730.9,13.2,13.3,115.5,119.8,11.65,12.06,21.0,0.0562,17,NA,NA,NA,NA,0,
10,55,2018-07-25,st33,1,0.5,10,2017,2018-07-25 12:51,2018-07-25 14:19,1.47,730.5,730.9,13.0,13.1,113.5,107.9,11.50,10.90,20.5,-0.0839,35,NA,NA,NA,NA,0,
11,56,2018-07-25,st33,1,0.5,0,2012,2018-07-25 12:50,2018-07-25 14:23,1.55,730.5,730.9,13.3,13.4,127.7,140.6,12.85,14.12,16.0,0.1311,4,NA,NA,NA,NA,0,
12,57,2018-07-25,st33,1,0.5,1,2017,2018-07-25 12:53,2018-07-25 14:23,1.50,730.5,730.9,12.9,13.3,123.7,134.9,12.56,13.58,21.0,0.1428,31,NA,NA,NA,NA,0,
13,58,2018-07-25,st33,1,0.5,3,2012,2018-07-25 12:52,2018-07-25 14:25,1.55,730.5,730.9,13.1,13.4,112.3,115.4,11.36,11.60,23.5,0.0364,29,NA,NA,NA,NA,0,
14,59,2018-07-25,st33,1,0.5,7,2017,2018-07-25 12:55,2018-07-25 14:27,1.53,730.5,730.9,13.0,13.1,122.9,132.3,12.45,13.38,18.0,0.1092,11,NA,NA,NA,NA,0,
15,60,2018-07-25,st33,1,0.5,10,2012,2018-07-25 12:54,2018-07-25 14:27,1.55,730.5,730.9,13.2,13.2,115.2,109.3,11.62,11.04,18.5,-0.0692,2,NA,NA,NA,NA,0,
